제목,날짜,링크,요약,type,date,contents
Flexibility on eight axles: Colonia takes over Liebherr LTM 1650-8.1 mobile crane,Press releases |08/22/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/flexibility-on-eight-axles-colonia-takes-over-liebherr-ltm-1650-8-1-mobile-crane.html?page=32,"Colonia Spezialfahrzeuge Gottfried Schönges GmbH & Co. KG has taken delivery of a Liebherr LTM 1650-8.1 mobile crane. With the new crane, the Cologne-based company replaces a 15-year-old 500-tonne crane and strengthens its fleet in the range between 400 and 750 tonnes lifting capacity.Find out more",Press releases,08/22/2022,"For optimised transport logistics, Liebherr has designed a solution to enable the telescopic boom to be fitted and removed quickly and easily: The LTM 1650-8.1 can be driven without its boom with a total weight of less than 60 tonnes. This significantly increases mobility on public roads. The reduced total weight means that more bridges can be crossed, for example, which saves detours and time. Colonia sales manager Thomas Reuther explains: ""We have to face the difficult infrastructure problems especially here in the Cologne area. For this reason, we were the first in Germany to tackle the issue of detachable booms. The LTM 1650-8.1 is now the fourth large crane with this system in our fleet. More will follow in the future.""Colonia's main areas of operation are in the chemical sector. The LTM 1650-8.1 will also find its work mainly in the Cologne chemical belt, in addition to many other applications and activities. ""The LTM 1650-8.1 was the only reasonable alternative for us to close our gap between the LTM 1400-7.1 and LTM 1750-9.1. In order to take full advantage of all the technical possibilities of the LTM 1650-8.1, we opted for the 54-metre and also the 80-metre telescopic boom. The variable support base VarioBase® and the hydraulically adjustable ballast radius VarioBallast® are Liebherr innovations that we no longer want to do without. They were also reasons for us to opt for the new Liebherr 8-axle crane,"" says Reuther.Colonia Spezialfahrzeuge celebrated its 75th anniversary two years ago. It all started in 1945 with a self-built trailer and a towing vehicle. In the 1960s, the first truck-mounted cranes were acquired. In 2020, Colonia entered the crawler crane class with the Liebherr LR 1800-1.0. Today, with around 220 employees, the company offers industrial assembly and towing services in addition to heavy-duty and crane rental.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (940 KB)Presseinformation Deutsch PDF (295 KB)Press release EnglishDOCX (941 KB)Press release EnglishPDF (292 KB)ImagesZIP (1.1 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Jandt expands crane fleet with Liebherr LTM 1150-5.3 mobile crane,Press releases |08/19/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/jandt-expands-crane-fleet-with-liebherr-ltm-1150-5-3-mobile-crane.html?page=32,"Jandt Kranvermietung GmbH has taken delivery of a Liebherr LTM 1150-5.3 mobile crane. With the new 150-tonne crane, the company from Bielefeld complements its crane fleet in the range between 100 and 200 tonnes lifting capacity.Find out more",Press releases,08/19/2022,"Authorised signatory Jens Lübeck travelled to the Liebherr manufacturing plant in Ehingen to take delivery of the new LTM 1150-5.3. He reports: ""In the range of our cranes between the 100 and 200 tonne class, we previously only had the LTM 1130-5.1. And since this was always very well utilised, we wanted to provide it with a reinforcement. The LTM 1150-5.3, which Liebherr has launched on the market as the successor to the 130-tonner, was therefore the logical choice for us.""Long and strong telescopic boom with simultaneous economic mobilityAfter building around 1,500 units, Liebherr presented the LTM 1150-5.3 in autumn 2020 as the successor to the successful LTM 1130-5.1. With a maximum lifting capacity of 150 tonnes and a 66-metre telescopic boom, it complements the Liebherr crane range below the 180-tonne LTM 1160-5.2. The telescopic boom, which is ten per cent longer than its predecessor, lifts loads that are on average 15 per cent higher, both with maximum and partial ballast. The achievement of the Liebherr engineers here was that the low overall weight of the predecessor could be maintained: With twelve tonnes of axle load, the crane carries nine tonnes of ballast on public roads.This was also an important criterion for Jandt Kranvermietung GmbH when deciding on the purchase. ""With nine tonnes of ballast, we can use the LTM 1150-3.1 excellently in the taxi crane business. If we need more power, we can get by with just one vehicle when transporting the counterweight. This allows us to offer our customers a very economical solution,"" says Lübeck.Classic areas of application for the new 150-tonne crane at Jandt will be construction crane assembly and support work in wind power, as well as precast concrete assembly and activities on construction sites in the energy sector. In this context, Lübeck emphasises the high lifting capacity values with 45 tonnes maximum ballast and the 6-metre longer telescopic boom compared to the LTM 1130-5.1.Long-standing partnership with Liebherr20 telescopic mobile cranes in Jandt's fleet bear the Liebherr logo. Lübeck explains: ""As a long-standing customer, we appreciate the partnership and the innovative strength of Liebherr. These factors have contributed significantly to the success and growth of our company. We are convinced of the cost-effectiveness of the products, for example the Liebherr single-engine concept, which has enabled us to further reduce the CO2 emissions of our fleet. On the other hand, we benefit from the excellent service for our entire fleet.""Jandt is also consistently focusing on CO2 reduction with the procurement of the new LTM 1150-5.3. As with the latest developments in the Liebherr mobile crane series, the 150-tonner also features ECOmode in crane operation for fuel and CO2 savings and noise reduction. On the one hand, the complete pump drive can be automatically disengaged in engine idling mode and switched back on again in a matter of seconds via the intelligent control system when power is required. On the other hand, the crane control system automatically calculates the optimum engine speed for the working speed preselected via the control lever in order to avoid unnecessarily excessive engine speeds. When driving on the road, there is also a switchable eco mode that prescribes an optimised driving setting that saves fuel and CO2 and reduces noise.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (452 KB)Presseinformation Deutsch PDF (393 KB)Press release EnglishDOCX (451 KB)Press release EnglishPDF (372 KB)ImagesZIP (1.5 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Road construction in Africa: INZAG procures Liebherr LTM 1090-4.2 mobile crane for Ghana,Press releases |08/18/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/road-construction-in-africa-inzag-procures-liebherr-ltm-1090-4-2-mobile-crane-for-ghana.html?page=32,"INZAG Germany GmbH has procured a Liebherr LTM 1090-4.2 mobile crane specifically for a road construction project in Ghana. The German construction company has been awarded the contract for the expansion of the 64-kilometre-long first section of the Eastern Corridor Road from the port city of Tema, not far from the capital Accra, to Akosombo.Find out more",Press releases,08/18/2022,"The ""Rehabilitation of the Eastern Corridor Road"" is one of the most important projects undertaken by the Ministry of Roads and Highways of Ghana. It is of central importance for the transport and economic development in the east of the West African state on the Gulf of Guinea. The 700-kilometre road is a very important north-south axis from the border with landlocked Burkina Faso to Tema, the country's main port city.The German construction company INZAG, headquartered in Wiesbaden, has been awarded the contract for ""Lot 1"". Managing Director Achim Becker explains: ""The development of the first 64 kilometres from the port town of Tema to Akosombo is highly complex. Through the city, the road will be widened from two to six lanes. This will be followed by a section with a four-lane expansion. Even further north, the road will have two lanes. Included in the project are roundabouts, flyovers and river crossings, as well as numerous pedestrian bridges."". Flexible 4-axle craneINZAG is currently setting up the construction site. Purchasing Manager Benjamin Knell reports: ""The new Liebherr LTM 1090-4.2 will also be used during the mobilisation phase to set up the construction site. In addition, we will use the flexible 4-axle crane for steel construction and prefabricated assembly. As an all-rounder, the 90-tonne mobile crane will be a key piece of equipment for the construction project. In addition, more cranes are needed on site, especially larger equipment for the heavy lifts.""The LTM 1090-4.2 combines mobility, performance and economy in a superb package. It is economically mobile all over the world, as it can be moved with different axle loads for road and construction site travel. ECOdrive and ECOmode reduce its fuel consumption and noise emissions – better for drivers and the environment. The VarioBallast® variable counterweight radius and the VarioBase® variable support base provide extra performance and safety as well as enormous flexibility in use. With its 60-metre telescopic boom and lattice extensions, the 90-tonne crane can reach lifting heights of up to 76 metres and radii of up to 62 metres.. Economic and social development in African countriesINZAG aims to contribute to the economic and social development of African countries by developing projects in the fields of logistics, water infrastructure, energy, mining and industrial facilities. The company develops infrastructure projects for public and private clients in Africa. The focus of the strategy is on structuring public construction projects with export financing. In this type of project, supplies and services are exported to Africa from Germany and other European countries.Achim Becker says: ""The Eastern Corridor Road Lot 1” project is our first in Ghana. Currently we have 150 employees, but in the peak phase there will be up to 900. We have a long-standing business relationship with Liebherr. We appreciate their renowned excellent service. It is a great advantage that Liebherr is present here with a branch office in the capital Accra. It is also an important aspect of our corporate strategy to work with German manufacturers in the African market and to establish strategic partnerships with them in Africa.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (5.0 MB)Presseinformation Deutsch PDF (567 KB)Press release EnglishDOCX (5.0 MB)Press release EnglishPDF (561 KB)ImagesZIP (3.9 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
It takes two to tango,Press releases |08/12/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/it-takes-two-to-tango.html?page=32,The Port of Esbjerg is a long-standing partner of Liebherr and has recently ordered a second LHM 800. The new crane is already the seventh Liebherr mobile harbour crane to be used at Denmark's largest port. Next-generation offshore wind turbines will be lifted with the new heavy-duty crane. Liebherr will deliver a further crane of the type LHM 600 to Port Esbjerg before the end of the year.Find out more,Press releases,08/12/2022,"Port Esbjerg is the leading port in Europe when it comes to handling and shipping wind energy components. The port played a key role in the rise of Denmark’s offshore wind industry: 80% of the offshore wind capacity installed in Europe was shipped from the Port of Esbjerg. Their record for breakbulk is notable, as the port handles more than 500,000 tonnes of major wind turbine components each year. Therefore, it is decisive that the port is equipped with state-of-the-art equipment. The first LHM 800 for Port Esbjerg was delivered in 2019. The upcoming delivery in 2023 of the recently ordered second LHM 800 marks the seventh Liebherr mobile harbour crane purchased by Denmark's largest port. Port Esbjerg will be the third port in the world to have two LHM 800 cranes in its fleet.. Long partnershipWith the second LHM 800, Port Esbjerg will also be able to carry out tandem lifts of up to 616 tonnes. This means that components of the next generation of offshore wind turbines can be handled. Mr Dennis Jul Pedersen, CEO at Port Esbjerg, says: “Our competency lies in breakbulk and in having the capacity for tandem lifts above 600 tonnes, which is necessary not only in the on- and offshore wind market but also in supporting production in the hinterland.”Liebherr and Port Esbjerg have enjoyed a partnership for many years. The first Liebherr mobile harbour crane, an LHM 1080, was bought by the port in 1994. Many further units followed in the years after. Together with Port Esbjerg, Liebherr developed its unique Sycratronic tandem-lift assistance system.""The Port of Esbjerg has been pursuing major expansion plans for decades. Our company supports the port's development by delivering a high-quality product, reliable service and innovative technology. We are grateful for the opportunity to succeed together and continue our partnership,"" comments Roman Chopyk, Sales Manager for Liebherr mobile harbour cranes.. Liebherr for the wind industryOffshore wind power activities are expected to increase significantly over the next decade, and, as wind turbines get bigger, powerful equipment is needed to handle these components. The ability to handle heavy components with mobile harbour cranes is considered to be essential for efficient and flexible harbour operations. Liebherr’s mobile harbour cranes are versatile and allow for the handling of all types of goods even at wind speeds of up to 24 metres per second, thus providing the best possible operability.The LHM 800 is the largest and most powerful mobile harbour crane in the Liebherr LHM portfolio. The machine meets the ever-increasing demand for mobile heavy-duty cranes in the maritime sector. A key driver of this development is clearly the wind industry. In a special heavy-lift version, the LHM 800 is capable of lifting weights of up to 308 tonnes and up to 616 tonnes in tandem mode with the intelligent Liebherr system Sycratronic.Tandem lifts over 600 tonnesSycratronic is a computerised assistance system for operating two cranes with one crane operator. This makes the system not only suit ideally for tandem lifts of turbines over 600 tonnes, but also ideal for handling rotor blades, which in the offshore sector can be over 90 metres long. Sycratronic speeds up turnover time and increases safety as the computer monitors operation to avoid overloads and compensate for the displacement of components being loaded.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (4.2 MB)Presseinformation DeutschPDF (615 KB)Press release EnglishDOCX (4.2 MB)Press release EnglishPDF (622 KB)ImagesZIP (82.3 MB). . Philipp  HelbergLiebherr-MCCtec Rostock GmbHLiebherrstraße 118147 RostockGermanyPhone+49 381 60065024Send contact request. "
Liebherr-Verzahntechnik GmbH at AMB in Stuttgart,News |08/12/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-verzahntechnik-gmbh-at-amb-in-stuttgart.html?page=33,"After a break caused by the Coronavirus, the international trade show AMB in Stuttgart is back. At one of the biggest fairs for metalworking in the world, Liebherr will present several innovations in the areas of gear technology and automation systems.Find out more",News,08/12/2022,"After a break caused by the Coronavirus, the international trade show AMB in Stuttgart is back. At one of the biggest fairs for metalworking in the world, Liebherr will present several innovations in the areas of gear technology and automation systems.The gear technology highlight comes in the form of the new gear hobbing machine LC 500 DC. With the new gear hobbing head for larger and longer tools, workpieces with a diameter of up to 500 mm and module 7 can now be chamfered simultaneously. The gear inspection machine WGT 400 is presented with the in-house software LHInspect, which can be flexibly used for all kinds of gears. To round things up, the very small CBN grinding discs for special internal gear applications will also be presented at the fair.Scanning, picking, positioning: The Liebherr bin picking solution LHRobotics.Vision offers a high-tech product for various applications. Another automation system will be presented as an AR application: the pallet handling system.Visitors will find these and various other highlights at the Liebherr stand C 51 in hall 5.. More information here"
Liebherr gear technology and automation systems at IMTS in Chicago,News |08/08/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-gear-technology-and-automation-systems-at-imts-in-chicago.html?page=33,Liebherr gear technology and automation systems present the latest innovations in gear technology and automation at the biggest trade show for metalworking.Find out more,News,08/08/2022,"Liebherr gear technology and automation systems present the latest innovations in gear technology and automation at the biggest trade show for metalworking.The gear technology highlight will be the gear grinding machine LGG 180 / 280. With its technological flexibility, both external and internal gears can be machined. It is also capable of finishing and polishing grinding and can accommodate very small grinding worms. The gear inspection machine WGT 400 is presented with the in-house software LHInspect, which can be flexibly used for all kinds of gears. With LHOpenConnect, the gear inspection machine can be connected to gear cutting machines. The precise and productive gear cutting tools complete the portfolio, which will be presented at the trade show.Scanning, picking, positioning: The Liebherr bin picking solution LHRobotics.Vision offers a high-tech product for various applications.Visitors will find these and various other highlights at the Liebherr Gear and Automation Technologies booth 236914 in hall N3.. More information here"
"Environmentally friendly CO2 air conditioning system from Liebherr successfully tested in ""eco2jet"" research project",News |08/08/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/environmentally-friendly-co2-air-conditioning-system-from-liebherr-successfully-tested-in-eco2jet-research-project.html?page=33,The CO2 air conditioning system for passenger coaches developed by Liebherr has proven its reliability and technological maturity.Find out more,News,08/08/2022,"Liebherr-Transportation Systems, together with an Austrian consortium consisting of partners ATT advanced thermal technologies, IESTA, Obrist Engineering, Österreichische Bundesbahnen - ÖBB, Rupert Fertinger, TU-Graz and Virtual Vehicle Competence Centre, has successfully completed the ""eco2jet"" research project. The project was funded by the Austrian Climate Energy Fund and supported by the Austrian Research Promotion Agency (FFG), Vienna.The aim of the project was to develop an environmentally friendly CO2 air conditioning system for rail vehicles as an alternative to heating, ventilation and air conditioning (HVAC) systems operated with conventional refrigerants. To this end, a near-production Fast Track Demonstrator (FTD) for an HVAC system with heat pump function using the natural refrigerant R744 (CO2) was developed and installed in a passenger coach from the Railjet fleet operated by ÖBB.. Liebherr had previously tested the FTD in a climatic chamber and then, in cooperation with ÖBB, recorded and evaluated the performance of the system in regular train operation under real conditions. In the more than three-year eco2jet demonstration phase from May 2018 to August 2021, the air conditioning system with CO2 as refrigerant proved to be a reliable and technologically mature concept. The environmentally friendly, energy-saving regular operation of an ÖBB long-distance passenger train with this pioneering technology on board is thus guaranteed and Liebherr has further consolidated its status as an expert in air conditioning systems with natural refrigerants."
Liebherr Mining’s Perth facility expands for new technologies and zero emission progress,Press releases |08/05/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/liebherr-minings-perth-facility-expands-for-new-technologies-and-zero-emission-progress.html?page=33,"Liebherr-Australia has expanded their Perth mining facility, adding 47,000m2 of workshop, office, and build space to the complex. This increased footprint will facilitate the company’s progress with their mining decarbonisation and technology projects.Find out more",Press releases,08/05/2022,"Liebherr-Australia has announced the expansion of their Perth mining facility, which will strengthen the company’s ability to deliver accelerated zero emission solutions to the wider market. Liebherr-Australia’s growing involvement in the development and implementation of zero emission technology with Australian customers illustrates the necessity for this investment in infrastructure, and signifies Liebherr’s commitment to these industry-leading projects.The Redcliffe-based branch purchased the land and buildings adjacent to the current location, increasing the Liebherr complex from 34,000m2 to 81,000m2. The new acquisition includes two workshops and a three-storey office building, adding to Liebherr’s existing 3,000m2 service workshop, 5,000m2 state-of-the-art parts warehouse, along with administration building and build area.Liebherr-Australia Managing Director, Trent Wehr, commented on the importance of this facility expansion. “This is our largest investment in infrastructure here in Australia in many years, and this signifies how vital this facility is for our current and future business. Liebherr’s developments in zero emission technology, and the projects we are working on with industry partners and customers, are progressing every day and will deliver tangible solutions for the wider industry well before 2030,” Wehr said. “The team at Liebherr-Australia is making important contributions to the decarbonisation of the mining industry, and we’re committed to resourcing this momentous work for both our long term success and the benefit of the whole industry.”Accelerated zero emission mining developmentThe newly acquired office and workshop buildings will form the central hub for Liebherr’s mining zero emission, autonomy, and other technology development and implementation projects in Australia.The workshop and additional hardstand areas will facilitate these development projects, as well as new equipment builds for the growing number of machine orders in Western Australia. The additional office space will house the growing teams working on these industry-leading projects.Liebherr-Australia’s Regional Manager WA, Paul Hyham, says the company’s decarbonisation and technology focus has ramped up quickly over the past year. “We’re building a really critical team here in Perth to support new technology development, which will employ everyone from engineers to on-site technicians,” said Hyham. “We’re excited to be bringing across some of our best international talent, as well as recruiting talent locally, and upskilling our own workforce over the next 12 months. We currently have around 200 permanent employees here in Perth and we forecast an increase steadily over the next few years.”This expansion will have significant impact on the Liebherr Mining business both locally and globally, Hyham continued: “It’s exciting to have the forefront of this technology development and deployment right here in our backyard. Across the business there’s a feeling of excitement that we’re making real progress. Announcements like this facility expansion really show our employees, customers, and our wider network that we’re on the cusp of meaningful change.”Alongside this expansion, the Perth complex will continue to be the main mining facility for all services in Western Australia, and support its satellite network of branches in the state’s regional mining hubs including Newman and the recently established branch in Kalgoorlie.. DownloadsHere you will find the press release and images for download.. Press release EnglishDOCX (219 KB)Press release EnglishPDF (283 KB)ImagesZIP (12.8 MB). Breanna BennettMarketing Associate - MiningLiebherr-Australia Pty. Ltd.South Brisbane67 Grey StreetQLD 4101Phone+61 (7) 3034 8803Send contact request. "
182 metre-high skyscraper: New Liebherr crane at work in Canada ,Press releases |08/03/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/182-metre-high-skyscraper-new-liebherr-crane-at-work-in-canada.html?page=33,"Fast working speed, simple operation and reliable service – these are the key factors that prompted Liebherr customer Cambie Forming Ltd. to opt for another 280 HC-L 12/24 Litronic.Find out more",Press releases,08/03/2022,"“The 280 HC-L is an extremely reliable and responsive crane. It’s by far the best crane I’ve worked with in my 25-year professional career,” says crane operator Richard Out. Two technologies impress him in particular: Micromove and level luffing at the push of a button. These functions have helped him, for example, to place concrete formwork panels with millimetre precision. Plus, he has an unrestricted view of loads from inside the modern LiCAB crane operator’s cab, which also features an ergonomic control stand.The 280 HC-L in the version with its maximum 24-tonne load capacity is helping to build Hillside East Tower 1 to a final height of 182 metres. The skyscraper is part of a neighbourhood development project in the city Burnaby in the Canadian province of British Columbia. Several buildings are being constructed in the Brentwood district to accommodate residential and retail units as well as cafés and restaurants. At the same time, a Liebherr 355 HC-L 16/32 Litronic is working on Hillside East Tower 2. The building is to be 142 metres high. Two further skyscrapers, directly adjacent to the Hillside East Towers, have now been completed. These were also successfully erected with the help of two Liebherr 280 HC-Ls.. High-performance lifting and horizontal luffing HC-L series cranes are optimally designed for use on tall buildings. They’re easy to assemble on tight construction sites and feature in-house manufactured high-performance drives. To ensure the appropriate handling capacity, the cranes also offer straightforward load hook re-reeving from one to two-line operation. The level luffing function makes work easier for the crane operator and ensures safe and efficient operation on site. When the jib moves, the control system automatically readjusts the hoist unit so that the load hook travels along a horizontal path.An optimal climbing process is also important for safety and efficiency on the construction site. The 280 HC-L crane climbs up the building just like its 355 HC-L neighbour. The construction site’s layout proved a challenge in this respect. Both cranes could only be assembled in one place, as site operations would have been disrupted otherwise. Liebherr's Tower Crane Solutions project department, together with Cambie Forming Ltd, developed an optimal climbing process to minimise the loads on the building and the crane guy wires. Despite these challenges, only six guys were needed to safely climb the cranes to the great heights.. Collaboration you can count onCustomer Cambie Forming Ltd appreciates the package combination of high-performance equipment and comprehensive crane services. “We’ve owned Liebherr products for more than 15 years and have complete confidence in the reliability, quality of manufacturing and usability of these cranes as well as the provided customer service,” says managing director Peter Betz.Purchasing the new 280 HC-L for the construction project in Burnaby has paid, “As far as we are concerned, 280 HC-L cranes have the best lifting and luffing speeds out there, they also offer impressive lifting capacities and are flexible when it comes to assembly.” The new 280 HC-L’s current job is expected to last until November this year. The 355 HC-L is scheduled to be disassembled in October.The general contractor Cambie Forming Ltd is based in Vancouver and is a long-standing Liebherr customer. In addition to HC-L series cranes, the company also has top-slewing cranes from Liebherr’s HC, EC-B and EC-H series in its portfolio.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (153 KB)Presseinformation Deutsch PDF (317 KB)Press release EnglishDOCX (148 KB)Press release EnglishPDF (331 KB)Information Presse Français DOCX (152 KB)Information Presse Français PDF (314 KB)Información de Prensa EspañolDOCX (165 KB)Información de Prensa EspañolPDF (329 KB)ImagesZIP (19.9 MB). . Daniel HäfeleGlobal CommunicationLiebherr-Werk Biberach GmbHMemminger Straße 12088400 Biberach an der RißGermanyPhone+49 7351 41 2330Send contact request. "
Alpine crane job on constricted site,Press releases |08/02/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/alpine-crane-job-on-constricted-site.html?page=33,A Liebherr LR 11000 crawler crane has installed a 176-tonne railway bridge not far from the fashionable spa and holiday resort of St. Moritz in the Swiss canton of Graubünden.Find out more,Press releases,08/02/2022,"Michael Egger, Managing Director of Emil Egger AG, based in St. Gallen, transported his 1,000-tonne crawler crane to the south-east of Switzerland to replace three railway bridges, all of which were around 100 years old. Work on the first bridge structure was particularly challenging – due to the limited space available for the crane on a metalled embankment facing the adjacent road, it was not possible to use the derrick boom with its suspended ballast.. ""To ensure we have sufficient stability for lifting the new, significantly heavier railway bridge, we had to maximise the central ballast on the crane to compensate for the lack of suspended ballast,"" explains Egger, who planned the operation with his colleague, Andreas Schönenberger. Prior to carrying out the work, he had discussed the load case in this unusual configuration with the specialists at Liebherr in Ehingen: ""The LR 11000 is equipped with 90 tonnes of central ballast as standard. We have therefore packed 130 tonnes into the crane for this operation after Liebherr gave us the OK to do so."" The slewing platform ballast was loaded with the maximum counterweight of 250 tonnes.. ""Up to the limit of the load chart""Before the new steel structure, which is around 35 metres long and was assembled on site from several segments, could be placed in position, the old bridge structure first had to be removed. The 65-tonne truss construction was quickly lifted off the abutments and set down on the edge of the mountain river, actually next to LR 11000. It was then repositioned later for removal. Afterwards, the crawler crane was able to lift the new bridge from the special transporter on the road and position it above the river using a radius of around 22 metres. ""With this radius and a gross load case of 205 tonnes, we are almost at the limit of the load chart for the crane in this particular configuration,"" says Egger.. The LR 11000 was erected and dismantled by a Liebherr LTM 1250-6.1 mobile crane belonging to Sabesa SA, a crane and haulage contractor based in Ticino. Andrea Saccomandi, Managing Director of Sabesa, which was actually the main contractor for the replacement of the three railway bridges, was personally on site for the crane job. Based on the northern shore of Lake Maggiore, the company's portfolio includes crane work, transport services and platform hire, and its fleet includes around a dozen Liebherr mobile, compact and mobile construction cranes.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (1.6 MB)Presseinformation Deutsch PDF (1.1 MB)Press Information EnglishDOCX (1.6 MB)Press Information EnglishPDF (1.2 MB)ImagesZIP (9.1 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
Two new Liebherr mobile cranes for Poloniato,Press releases |07/29/2022,https://www.liebherr.com/en/usa/latest-news/news-press-releases/detail/two-new-liebherr-mobile-cranes-for-poloniato.html?page=33,"Italian crane company Poloniato S.r.l. is closing the gap between the 100- to 160-tonne cranes in its fleet with the acquisition of two new Liebherr mobile cranes. The two 5-axle LTM 1110-5.1 and LTM 1150-5.3 impress with their high mobility, long booms and innovative technology.Find out more",Press releases,07/29/2022,"Italian crane company Poloniato S.r.l. has taken delivery of two new Liebherr mobile cranes, an LTM 1110-5.1 and an LTM 1150-5.3. The cranes complement Poloniato's fleet in the range between 100 and 160 tonnes lifting capacity.LTM 1110-5.1: high mobility worldwide and long telescopic boom""We chose the LTM 1110-5.1 because of some of its fundamental features: the ability to take 13.4 tonnes of counterweight on board, the 60-metre telescopic boom and the VarioBase® Plus support system,"" explains Michele Poloniato, owner of Poloniato S.r.l. With its 60-metre telescopic boom, the LTM 1110-5.1 offers one of the longest booms in this class of crane and this combined with powerful lifting capacities. Various extensions with folding tips or lattice pieces are possible for the telescopic boom. The 5-axle model also features a variety of different driving conditions – thereby ensuring major advantages for road travel worldwide. The innovative VarioBase® Plus gives the crane's support even more power and safety. The rear supports have a double-stage design and achieve a support width of 8.3 metres, 1.3 metres wider than the front supports. This increases the load-bearing forces over the rear supports even more. Poloniato S.r.l. plans to use the LTM 1110-5.1 mainly for erecting and dismantling tower cranes.LTM 1150-5.3: high load capacities in steep position and large radius""Size and performance are in excellent proportion in the LTM 1150-5.3. It offers a 66-metre telescopic boom. What is also special is the possibility to drive on public roads with nine tonnes of counterweight,"" Michele Poloniato explains the decision for the LTM 1150-5.3. The single-engine strategy with mechanical drive of the superstructure eliminates weight there, which is used for the longer boom and more lifting capacity. This allows the 5-axle crane to do many jobs without extra counterweight transport. This makes it quickly ready for use on the construction site and saves costs. Its 66-metre telescopic boom lifts loads weighing over nine tonnes when fully extended. That makes it perfect for erecting tower cranes. This is also the main area of application for the mobile crane at Poloniato. The crane will also be used in the assembly of prefabricated elements made of reinforced concrete for industrial buildings. The Liebherr-150-tonne crane can achieve hoisting heights of up to 92 metres and radii up to 72 metres using lattice extensions.Good technical support and fast spare parts serviceLiebherr's service also contributed to the decision to buy. ""The fast service and excellent support from Liebherr-Italia technicians, the rapid delivery of spare parts and an efficient workshop in Monfalcone have allowed the long-standing relationship with Liebherr to grow,"" explains Michele Poloniato.Over 23 years of cooperation with Liebherr""Our Liebherr mobile cranes are certainly among the best in the world in terms of performance, value and image,"" Poloniato enthuses. The cooperation between Poloniato and Liebherr has existed for over 23 years. ""We have been working with Liebherr since 1998 and during this time we have purchased a total of 11 new and used cranes,"" says Poloniato. More than half of the Italian company's mobile cranes come from Liebherr.The Italian crane company Poloniato S.r.l. was founded in 1973. The 30 employees work with the machines in Poloniato's fleet on up to 200 construction sites a year. The Italian crane company is particularly well positioned with machines in the medium load range. The areas of application range from the assembly of construction and hall cranes, to cable car masts and air conditioning systems, to moving loads.. DownloadsHere you will find the press release and images for download.. Presseinformation Deutsch DOCX (308 KB)Presseinformation Deutsch PDF (309 KB)Press release EnglishDOCX (306 KB)Press release EnglishPDF (303 KB)Informazione Stampa ItalianoDOCX (307 KB)Informazione Stampa ItalianoPDF (300 KB)ImagesZIP (3.8 MB). . Wolfgang BeringerMarketing and CommunicationLiebherr-Werk Ehingen GmbHDr.-Hans-Liebherr-Straße 189584 Ehingen (Donau)GermanyPhone+49 7391 502-0Fax+49 7391 502-3403Send contact request. "
