date,제목
2022-04-05,Liebherr’s MDC3 camera – The best choice for Sandvik
2022-04-05,"Stevenson Crane, Rigging, and Heavy Haul adds Liebherr LR 1500 Crawler Crane to fleet in 2022"
2022-04-04,2021 Annual Report
2022-04-04,Liebherr: Significant boost in turnover of the Liebherr Group in 2021 
2022-03-31,Deutsche Aircraft selects Liebherr to supply flap and spoiler actuation system for D328eco aircraft
2022-03-31,Liebherr Italia brings service even closer to its customers 
2022-03-30,ESTA Awards: LR 1400 SX wins
2022-03-29,The perfect lift: behind the scenes of Crane Planner 2.0 
2022-03-28,Fourth generation of 90 tonne cranes – Saller takes delivery of Liebherr LTM 1090-4.2
2022-03-25,Liebherr on-board in new air-free Siemens Brake System
2022-03-25,Liebherr’s dealer in Luxembourg: Comat celebrates its 50th anniversary
2022-03-24,Timeless Freshness: New freestanding appliances from Liebherr combine innovative technology and elegant design. 
2022-03-22,Workout with 100 tonnes: LR 1100.1
2022-03-18,Liebherr and HAECO extend their landing gear service agreement in China
2022-03-17,Maximum flexibility – Steil buys Liebherr LTM 1650-8.1 with all its boom versions
2022-03-14,Liebherr continues successful cooperation with start-ups
2022-03-10,Liebherr and Tula join research activities 
2022-03-10,LHM 550 celebrates 300th delivery
2022-03-10,Reinforcements for ESEASA – seven new Liebherr rough terrain cranes for the fleet
2022-03-09,LiMain: Changing the way you think about maintenance
2022-03-09,Wind-assisted propulsion:Harness the wind with Liebherr
2022-03-08,Danish construction company M.J. Eriksson relies on Liebherr TA 230 Litronic dump truck 
2022-03-07,Liebherr-Aerospace in Singapore reached significant milestone
2022-03-03,On the current situation in Ukraine
2022-03-03,Electrifying: LR 1160.1 unplugged
2022-03-02,Three at one blow – Herrmann & Wittrock modernises fleet with Liebherr mobile cranes
2022-02-25,Digital clearance monitoring for slewing bearings
2022-02-23,SAEI and Liebherr deepen their collaboration
2022-02-21,New alternative selected – Ley-Krane decides on rope pull technology option for its new LTC 1050-3.1
2022-02-18,First PR 776 mining dozer in Indonesia
2022-02-17,Liebherr signs agreement with Tigerair Taiwan on A320neo component support
2022-02-16,Cause for celebration: Liebherr delivers 1000th mobile construction crane
2022-02-09,Liebherr-Aerospace at MRO Middle East 2022
2022-02-09,A first in Brazil – Guindastes Tatuapé takes delivery of Liebherr LTM 1120-4.1 mobile crane
2022-02-08,Liebherr-Aerospace at Singapore Airshow 2022
2022-02-03,Relocation of Liebherr-Aerospace Customer Services base in Shanghai on track
2022-02-03,Crane Planner 2.0 – 3D lift planning now with new mobile cranes
2022-02-02,Most powerful 5-axle mobile crane for Brazilian group Calsimec
2022-02-02,Historic tower crane returns to Liebherr
2022-02-01,The largest crane in the “Tough Ones” series: Liebherr presents its 470 EC-B Flat-Top crane
2022-01-31,Entry into service: Liebherr-Aerospace on board the H160
2022-01-31,66 meter telescopic boom: Auto-Klug chooses Liebherr LTM 1150-5.3
2022-01-28,In Spain's largest wind farm: Transbiaga with three Liebherr LG 1750s in operation
2022-01-27,Around the world with 80 cranes
2022-01-27,A journey through the world’s refrigerators
2022-01-27,New customer – Levantek adds Liebherr LTM 1160-5.2 mobile crane to its fleet
2022-01-25,New NC-B 12-70 demonstrates its strength in Saudi Arabia
2022-01-24,Liebherr LTM 1650-8.1 installs bridge in area struck by disaster 
2022-01-21,Liebherr showcases THP 80-LP Truck mounted concrete city pump at World of Concrete 2022 trade show
2022-01-21,Fuel cell: technological partnership between GreenGT and Liebherr
2022-01-19,Reaching new heights – Liebherr unveils mobile crane with 90 metre telescopic boom – the new LTM 1300-6.3
2022-01-19,HVO as an alternative fuel at Liebherr
2022-01-18,Modernisation and expansion – Schuch buys 15 new Liebherr mobile cranes
2022-01-14,Construction (hi)stories: It’s a small world
2022-01-13,"Liebherr appoints Dr. Tim Gerhardt as new Managing Director of Liebherr USA, Co."
2022-01-13,Liebherr Indonesia’s established service leads to customer satisfaction
2022-01-13,Rising to meet global challenges: Liebherr launches three new wheel loaders
2022-01-12,Three Liebherr Auto RMGs enter service at CSX Intermodal in North Carolina
2022-01-12,Liebherr presents new compact loader series
2022-01-12,Liebherr presents new compact loader series with the new L 504 compact model
2022-01-11,Successful Liebherr-Aerospace’s Regional Technical Workshop in the USA 
2022-01-03,Experts in refrigeration to unveil largest product lineup to date at KBIS 2022
2021-12-22,Number 27 in the company’s 27th year – Ullrich takes delivery of Liebherr LTM 1060-3.1
2021-12-21,New Liebherr MK 88-4.1 heads to Italy
2021-12-17,Fleet addition: new Liebherr LR 1700-1.0 crawler crane for Eurogrúas 2000
2021-12-16,Liebherr crawler excavator R 960 SME conquers the world market
2021-12-15,Liebherr-Aerospace Brasil receives new Embraer approvals
2021-12-15,In the spotlight: Liebherr cranes help create impressive stage sets 
2021-12-14,German Ambassador visits Liebherr Singapore
2021-12-13,100 percent Liebherr: Hess extends fleet with LTM 1150-5.3 
2021-12-10,Long-term partnership for Liebherr Indonesia
2021-12-09,Most powerful crane in the fleet – Wasel extends crawler crane portfolio with LR 11000 
2021-12-08,Bridge building with AS Manutention’s new LTM 1750-9.1 mobile crane
2021-12-06,Blade replacement at a wind farm – tandem hoist by Liebherr mobile cranes 
2021-12-03,Acciaierie d'Italia places major order of four Liebherr LPS 800s
2021-12-03,Liebherr-MCCtec GmbH awarded gold sustainability rating from EcoVadis
2021-12-01,Liebherr-Aerospace extends its MRO component capabilities in China
2021-12-01,Night shift at the steelworks
2021-11-30,Alstom and Liebherr sign collaboration agreement on optimizing hydrogen fuel cells
2021-11-30,Continuous growth of customer services business in France
2021-11-30,Where business and science develop digital solutions 
2021-11-30,Closing the gap – Colonia takes delivery of Liebherr LTM 1110 5.1 mobile crane
2021-11-30,Liebherr-Australia opens new branch in Kalgoorlie
2021-11-26,Hautes-Alpes Département: Liebherr crawler excavator R 926 G8 convinces SATP
2021-11-25,Liebherr-Aerospace to Supply Heat Exchangers for Space Inspire Telecommunication Satellite
2021-11-25,"Engineered for the future, built on experience – Liebherr LTM 1110-5.2 mobile crane"
2021-11-24,"Liebherr (China) Co., Ltd. receives ISO 9001:2015 Certification"
2021-11-24,New cranes to celebrate company anniversary – Hanyš updates fleet with Liebherr cranes
2021-11-24,Four new Liebherr machines for Feickert 
2021-11-22,Euroports invests in emission-free LPS 420 E
2021-11-22,"Liebherr win contract to supply automated cranes to Port of Duqm, Oman"
2021-11-19,"“The future is small, compact but powerful mobile cranes”"
2021-11-18,Premiere – first Liebherr compact cranes with rope pull technology delivered
2021-11-17,Eineder modernises crane fleet with Liebherr LTM 1250-5.1 mobile crane
2021-11-16,Successful in Latin America – high number of Liebherr mobile cranes heading for Chile
2021-11-12,CMI Energia acquires first LR 1600/2 in Honduras
2021-11-11,A last goodbye – Last Liebherr LTM 1500-8.1 mobile crane goes to LOCAR
2021-11-10,Premiere in Canada – Guay takes delivery of its first two LTM 1110-5.1 mobile cranes
2021-11-09,Travelling up to the treeline with snow chains
2021-11-09,The new weightlifter: LR 1400 SX
2021-11-05,Mazeau Recyclage welcomes a new Liebherr LH 80 M High Rise materials handler
2021-11-04,Liebherr tower cranes get new touch display with smart operating system
2021-11-03,Liebherr blade bearings for tomorrow’s service operations
2021-11-03,Three Liebherr L 586 XPower® wheel loaders for BTB Group Berlin
2021-11-03,Profitability as a unique selling point: Three Liebherr L 586 XPower® wheel loaders for BTB Group Berlin
2021-11-03,Rounding off the portfolio – Seeland decides to purchase the Liebherr LTM 1150-5.3
2021-11-03,Mobile harbour cranes with electric drive in high demand
2021-11-02,Liebherr’s H2 direct injection solutions for heavy-duty engines
2021-11-02,Liebherr-France SAS: Christophe Sanchez replaces Martin Schickel as Director General
2021-10-29,The end of an era – the last LR 1600/2 leaves the Liebherr Plant in Ehingen
2021-10-28,An interaction that rules
2021-10-28,Jubilee: Excavator marking 60 years of Liebherr in France handed over to the Chavaz Père et Fils company 
2021-10-27,Liebherr ends first half of the year with positive result
2021-10-27,Unique – Dźwig-Mar takes delivery of the first LTM 1650-8.1 in Poland
2021-10-25,Liebherr reaches a new milestone in tunnelling
2021-10-22,Liebherr spare parts for overhaul of CTA’s 5000-series level control systems
2021-10-22,Third Liebherr LR 11000 crawler crane delivered to Felbermayr
2021-10-21,Montejo erects wind turbines in Colombia using LR 1600/2-W
2021-10-21,"One Topic, Three Industries: The Present and Future of Cooling"
2021-10-19,Mukran Port relies on Liebherr on the New Silk Road
2021-10-18,Modern Liebherr mixing plant of type Betomix 2.5 in operation in Berlin
2021-10-14,MAHLE Powertrain collaborates with Liebherr to co-develop active pre-chamber technology for heavy-duty hydrogen-fuelled engines
2021-10-13,From site to site: The new MK 73-3.1 from Liebherr in action
2021-10-12,Elephant rescue in the River Wupper – LTF 1045-4.1 hoists Tuffi back onto her plinth 
2021-10-11,Liebherr to supply thrust reverser actuation system for Rolls-Royce Pearl® 10X engine
2021-10-11,New York: Liebherr 125 K crane erects eight-storey residential building
2021-10-08,Looping the cosmic loop
2021-10-07,Health Management: Two new contracts for Liebherr Analytics Solutions
2021-10-07,First Liebherr crawler excavator R 934 G8 in Corsica goes to the Graziani TP company
2021-10-05,Three new Liebherr Megamax STS for Maher Terminals LLC
2021-10-05,Turn two into three
2021-10-04,Liebherr takes part in the C³-Mobility research project
2021-10-04,Liebherr-Aerospace at MRO Europe 2021
2021-09-29,Liebherr at the 2021 International Metro Transit Exhibition and Forum
2021-09-28,Crane fleet expansion – Baumann takes delivery of Liebherr LTM 1150-5.3 mobile crane 
2021-09-23,“Blue Beast” makes its debut – first Liebherr LTM 1650-8.1 for ALL Erection & Crane Rental 
2021-09-22,Liebherr begins construction of new components plant in China
2021-09-22,Liebherr exclusive provider for Lineage 1000 landing gear overhaul
2021-09-21,LiCAS passes test successfully
2021-09-17,Liebherr at the Küchenmeile 2021: futuristic features meet outstanding product design
2021-09-17,More power in the Caribbean: Força strengthens crane fleet with Liebherr LTM 1400-7.1
2021-09-16,SAB purchases Liebherr wheel loaders and crawler excavator
2021-09-16,Powerful start: New crawler crane from Liebherr is here
2021-09-15,"Liebherr and ABB accelerate all-electric mine transition, focussing on haul truck trolley support"
2021-09-15,First Quantum to operate world’s largest ultra-class truck trolley fleet with Liebherr T 284
2021-09-15,"New 36 XXT truck mounted concrete pump from Liebherr: Light, compact and flexible"
2021-09-15,Liebherr partners with Hexagon to deliver next generation mine automation
2021-09-14,Liebherr and ENGIE partner to offer carbon-neutral solutions for the mining industry
2021-09-14,Liebherr-Mining introduces advanced Assistance Systems & On-board Analytics
2021-09-14,"Liebherr Mining presents next generation, interoperable machine automation"
2021-09-14,Liebherr Mining introduces data-driven Digital Services
2021-09-14,Liebherr Mining advances Zero Emission Program
2021-09-14,Liebherr at Pollutec 2021
2021-09-14,Première in Africa: Allied Crane Hire takes delivery of Liebherr LTM 1230-5.1 mobile crane
2021-09-14,Argonaut Gold secures four Liebherr dozers
2021-09-13,Liebherr presents rough-terrain crane LRT 1090-2.1 at MINExpo in Las Vegas
2021-09-13,Liebherr unveils latest additions to mining equipment portfolio
2021-09-13,Premiere: Scholpp acquires the first for-hire Liebherr MK 73-3.1 mobile construction crane
2021-09-09,Liebherr-Aerospace Customer Services score high in Latin America and the Caribbean region
2021-09-09,Allamanno: Liebherr wheel loader and crawler excavator in the French département of Hautes-Alpes
2021-09-07,LTM 1450-8.1 from Advanced Cranes dismantles weir in Victoria
2021-09-06,The first Liebherr R 936 Compact crawler excavator on Corsica
2021-09-03,Looking towards the future
2021-09-01,Third Liebherr L 586 XPower® wheel loader for the Rinsche gravel plant
2021-09-01,Economical in mining operations: third Liebherr L 586 XPower® wheel loader for the Rinsche gravel plant
2021-08-31,Smart support from Liebherr High-Top crane boosts production
2021-08-31,LHInspect gear measuring software
2021-08-30,Air conditioning systems from Liebherr on board Hungarian passenger trains
2021-08-30,Liebherr: MK 88 Plus achieves 300 lifts in three days
2021-08-30,Darcy Pacheco increases capacities with a new LTM 1750-9.1
2021-08-27,The company Nouvelles Carrières d’Alsace (N.C.A) once again opts for Liebherr quality
2021-08-27,At a glance: Digital solutions from the world of Liebherr 
2021-08-25,XpertAssist – real-time remote support
2021-08-17,Liebherr-Transportation Systems: A hub for support and maintenance in the UK
2021-08-16,The duty cycle crawler crane that changed Liebherr 
2021-08-16,Liebherr USA. Co. launches partnership with Advance Technical Institute in new Co-op program for service technicians
2021-08-16,Compact crane – Leitl adds LTC 1050-3.1 to its crane fleet
2021-08-11,Sardinia – Liebherr LTM 1120-4.1 mobile crane with long boom in action at a refinery
2021-08-10,Number two: Paradiso takes delivery of Liebherr LG 1750 lattice boom mobile crane
2021-08-09,Liebherr sells its 2000th 34 K fast-erecting crane
2021-08-07,Liebherr strengthens supply chain services with Encompass partnership
2021-08-06,Thiess expands fleet in Chile with new Liebherr T 264
2021-08-06,Liebherr fast-erecting crane 34 K at work on the tallest building in the Benelux region
2021-08-05,Time-tested concept – Max Bögl Group takes delivery of another Liebherr LTR 1220 telescopic crawler crane 
2021-08-05,Liebherr floating cranes supply North Vietnam with energy
2021-08-03,"Liebherr USA, Co. announces new Managing Director"
2021-08-03,"Kai Friedrich appointed new Managing Director of Liebherr USA, Co."
2021-08-03,Liebherr HVAC units on-board maglev train in China 
2021-08-02,New Monolith: Liebherr continues expansion of iconic product line
2021-08-02,Liebherr in Ehingen switches to climate-neutral HVO fuel
2021-07-29,Successful joint venture in China
2021-07-28,50th Liebherr machine delivered for Mainka
2021-07-27,Bruns Kranvermietung based in Lüneburg takes delivery of its first Liebherr mobile crane
2021-07-26,Chasing the cold
2021-07-26,TEST Chasing the cold
2021-07-20,Liebherr welcomes HAECO as new partner for heat exchanger servicing
2021-07-15,Liebherr to present its latest innovations at MINExpo 2021
2021-07-15,Premiere – prefabricated constructions specialist Pekabex invests in Liebherr mobile crane 
2021-07-14,On the road to the digital transformation in production: Liebherr collaborating with startup 
2021-07-13,Two top class models – column loaded by Liebherr tandem hoist
2021-07-12,"Liebherr implements new field tech team to enhance support for service technicians, installers, dealers & distributors"
2021-07-12,French Minister Delegate for Transport visits Liebherr
2021-07-12,Transnacional adds used LTM 1500-8.1 to its crane fleet
2021-07-09,Liebherr-Aerospace puts a new machining center integrating a Liebherr robot into operation
2021-07-08,Everything remote: Distance not an issue for Liebherr
2021-07-08,Ten new Liebherr wheeled excavators for Julius Berger
2021-07-07,Liebherr joins eFuel Alliance
2021-07-07,"1,300 maritime cranes – from Rostock to the world"
2021-07-06,Sand from Dubai for an experiment in Pinghu
2021-07-06,“VarioBase® is the Ferrari of crane support systems”
2021-07-05,A new addition to the “Tough Ones” series: The new 205 EC-B 10 Flat-Top crane from Liebherr
2021-07-05,Rhenus Group relies on Liebherr 
2021-07-02,Hüffermann sets up new rental fleet with tower cranes from Liebherr
2021-06-30,Sustainability Award: EcoVadis Medal for Liebherr-Hausgeräte Lienz 
2021-06-30,"Liebherr (China) Co., Shanghai First Branch Receives ISO14001:2015 Certification"
2021-06-30,Klema expands fleet with Liebherr LTM 1110-5.1 mobile crane
2021-06-29,First job in the Netherlands – Sarens erects wind turbines using Liebherr LR 11000 crawler crane
2021-06-28,ALL relies on two Liebherr cranes for dual pick at bridge in Cleveland 
2021-06-25,Liebherr mobile crane helps place explosives at a height of 140 metres
2021-06-23,This is a Press Release
2021-06-22,Only truck-mounted cranes in the fleet – Krösche takes delivery of Liebherr LTF-1045 4.1 crane
2021-06-17,Liebherr and GM to develop HYDROTEC fuel cell-based electrical power generation system for aerospace application
2021-06-17,Three new Liebherr mobile cranes for Coamtra-Symco
2021-06-16,Liebherr LHM 800 takes Veemnatie to new heights
2021-06-15,Fourth Liebherr crawler crane in a year – Al Faris takes delivery of LR 1500
2021-06-11,Liebherr fast-erecting crane on the island of Mainau
2021-06-11,Delivery of Landing Gears for 100th ARJ21 Serial Aircraft
2021-06-10,Darcy Pacheco erects monumental statue of Christ using two Liebherr LTM 1220 5.2 mobile cranes
2021-06-08,Liebherr-Aerospace: Eco-responsibility in MRO means performance 
2021-06-07,Liebherr transfers rental business for tower cranes in Paris and Northern France to Hexagone Services S.A.S.
2021-06-07,Liebherr cockpit static inverter for Airbus A320 and A330 families
2021-05-28,Liebherr expands portfolio with series-production range for piston accumulators
2021-05-26,Liebherr T 274 – the new 305 t mining truck
2021-05-26,Liebherr supplies further air conditioning equipment for Stuttgart’s suburban railway
2021-05-26,Liebherr air conditioning units for the Rhein-Main suburban railway system
2021-05-26,First Liebherr Mobile Harbour Crane with fossil-free diesel
2021-05-25,Electronics Manufacturing Services at Liebherr: a look behind the scenes 
2021-05-20,Structural Unlimited‘s LR 1300.1 SX crawler crane provided high lifting capabilities for construction of the new CHKD Mental Healthcare facility parking garage
2021-05-19,Liebherr - a reliable partner for fuel injection solutions in the U.S.A.
2021-05-19,Liebherr HVAC Units for Trains in Bangladesh and Tanzania
2021-05-19,First Liebherr LTM 1650-8.1 mobile crane in Spain delivered to Grúas Ibarrondo
2021-05-18,Liebherr-Verzahntechnik GmbH presents solutions at Metalloobrabotka in Moscow
2021-05-18,Liebherr-Aerospace at MRO Middle East 2021
2021-05-18,New Liebherr articulated dump truck receives Red Dot Award 2021 
2021-05-17,Tanger Alliance at the TC3 terminal in Tanger Med operating at full capacity with eight new Liebherr ship to shore container cranes
2021-05-12,Liebherr-Aerospace launches new service platform
2021-05-12,Versatile Liebherr material handling machine in operation at Leutkircher Wertstoffhof recycling centre 
2021-05-12,“The future for the crane industry is emission free”
2021-05-11,Liebherr adds LTR 1040 to its telescopic crawler crane series
2021-05-10,Liebherr on board Dassault’s new Falcon 10X business jet
2021-05-04,LIKUFIX quick-change system available for other Liebherr wheel loaders
2021-05-04,Modernization: Crane Maier takes over Liebherr mobile crane LTM 1070-4.2
2021-05-04,Ready for new tasks at the push of a button: LIKUFIX quick-change system available for other Liebherr wheel loaders
2021-04-29,Fully operational for Swiss natural product: Liebherr LH 60 M Port Litronic material handler
2021-04-29,ESTA Awards: LR 1250.1 unplugged wins 
2021-04-28,Large crane offensive: Hüffermann expands fleet with Liebherr mobile and crawler cranes
2021-04-28,Liebherr supplies air conditioning systems for passenger coaches to Slovakia
2021-04-27,New training solutions by Liebherr-Aerospace Customer Services
2021-04-27,Technology for the green aircraft of the future
2021-04-26,Value for aircraft operators
2021-04-26,Greater lifting capacity with higher wind tolerance
2021-04-26,Liebherr wins ESTA Award in the safety category 
2021-04-22,New Liebherr R 928 G8 crawler excavator: The new addition to the Generation 8 family
2021-04-22,Liebherr website facelift shows elements of the new corporate design for the first time
2021-04-21,Sycratronic as trailblazer for the wind industry
2021-04-21,New maximum: Flossdorf adds Liebherr LTM 1650-8.1 mobile crane 
2021-04-20,Signed and sealed – Liebherr to kick off assembly of hydraulic cylinders in China
2021-04-20,Replacement after 23 years: RMT rounds off all-terrain crane fleet with Liebherr LTM 1130 5.1
2021-04-19,Annual Report 2020
2021-04-19,Liebherr: The Liebherr Group achieves over ten billion euros in annual turnover
2021-04-19,"First LTM 1120-4.1 on the Iberian Peninsula for Grúas Aguilar, Quality Grúas and Transgrua"
2021-04-14,"CELSINEO: More than 200,000 operating hours"
2021-04-14,Liebherr Receives Gold Award from COMAC
2021-04-14,New and used – three more Liebherr mobile cranes for Moroccan customer SCIF 
2021-04-13,Liebherr-Aerospace at MRO Americas 2021
2021-04-13,More with the same – I.V. Guindastes upgrades LR 1600/2-W
2021-04-13,"Like a racing car, only a little bigger"
2021-04-12,Beyond borders: services for the wind industry 
2021-04-09,Two new local zero emission excavators from Liebherr: R 976-E and R 980 SME-E electric crawler excavators
2021-04-07,LiView position transducer in the new crawler loader generation
2021-04-06,Liebherr Analytics in Service
2021-04-06,Bulet takes delivery of the first Liebherr LRT 1090-2.1 rough terrain crane in Nigeria
2021-04-01,Urban development in Bremen – Sommer installs components for stairwell using LTM 1450-8.1
2021-04-01,Liebherr R 9600 excavators perform in Australia
2021-03-31,A second added to the fleet – Rothmund shows its support for the Liebherr LTM 1230 5.1 mobile crane
2021-03-30,The new MK 73-3.1 mobile construction crane from Liebherr: a compact taxi crane with optimal reach
2021-03-30,Liebherr Container Cranes to supply two new STS to The Port of Liverpool
2021-03-29,Perfect for construction crane assembly – Schussmann takes delivery of Liebherr LTM 1230-5.1 mobile crane
2021-03-26,Service made Simple: New SCR parts kit
2021-03-25,New Liebherr LTM 1120-4.1 shows its capabilities on Swiss sites
2021-03-25,Liebherr invests in its Ehingen site
2021-03-24,Liebherr Signs Agreement on Landing Gear Overhaul with Portugália
2021-03-24,Addition to the fleet – Steil purchases Liebherr LTM 1120-4.1 mobile crane
2021-03-24,Liebherr New Council Member of the Shanghai Air-conditioning and Refrigeration Institute 
2021-03-24,The foundations for Norway’s longest railway bridge 
2021-03-24,Liebherr launches R 9600: The next generation of hydraulic mining excavators
2021-03-23,Sönke Jordt expands fleet with a Liebherr LTM 1110-5.1 mobile crane
2021-03-18,First Digital Suppliers’ Day at Liebherr-Aerospace
2021-03-17,Liebherr develops high-speed air compressors for fuel cell propulsion for rail transport market
2021-03-17,Crane trio: 8-axle cranes from Eisele and Riga work for monument protection
2021-03-15,First Flight: Liebherr-Aerospace on board the Falcon 6X
2021-03-15,Liebherr to Deliver Air Preparation Subsystem for Airbus A321 XLR Fuel Tank Inerting System
2021-03-15,Liebherr Container Cranes Ltd. strengthens North American sales and service through closer integration with local Liebherr companies
2021-03-12,Top-class logistics: 25 Liebherr tower cranes at work on the Überseequartier district in Hamburg’s HafenCity area
2021-03-11,Liebherr-Aerospace Digital Smart MRO - Remote Assistance Technologies
2021-03-10,Liebherr supplies SNCF with additional air conditioning systems for TER 2N NG trains
2021-03-10,First main components of Liebherr HLC 150000 ready for installation on Alfa Lift
2021-03-09,Ulferts & Wittrock orders another 31 Liebherr mobile cranes
2021-03-08,Liebherr air conditioning units for trams in Melbourne
2021-03-05,Model update: Liebherr introduces performance increase to L 550 and L 556 XPower® wheel loaders
2021-03-04,Successful IRIS Certification
2021-03-04,30 years in the ground – LTM 1500-8.1 removes 104-tonne tower crane foundation
2021-03-03,More LHM – More Business
2021-03-03,Liebherr Celebrates Over Twenty Thousand Repairs of Aerospace Components in China
2021-03-03,Liebherr Powerbloc proves its value in concrete pumping
2021-03-02,AKM expands crane fleet with LTM 1650-8.1 and LTM 1120-4.1
2021-03-01,Successful tests of Liebherr air conditioning system for new Vienna metro 
2021-03-01,Liebherr-Hausgeräte: Introducing a New Range of Fully Integrated Appliances
2021-03-01,Innovative and individual:Liebherr launches a new range of fully integrated appliances
2021-03-01,New Liebherr ship to shore container crane enters service at Terminales Maritimas Del Sureste in the Port of Alicante
2021-03-01,New EU energy label: Liebherr-Hausgeräte highlights its leading role in energy efficiency
2021-03-01,Liebherr-Hausgeräte is switching to the new EU energy label and continues to impress with its energy efficiency 
2021-02-26,Liebherr-France SAS: the largest Liebherr demolition excavator ever built handed over to AWR Abbruch GmbH
2021-02-25,Guindastes Tatuapé enlarges fleet with new LTM 1500-8.1 after 30 years of great partnership with Liebherr
2021-02-24,Liebherr maintains air conditioning systems for Graz trams
2021-02-24,Belgium: Ijzerland opts for R 944 C High Rise electric crawler excavator
2021-02-23,Expanding the fleet – Darcy Pacheco takes delivery of Liebherr LTM 1500-8.1
2021-02-22,Liebherr Performance Days – The Americas: Tech Arena – Where Virtual Meets Reality 
2021-02-22,Liebherr crane package for Krandienst Schulz
2021-02-18,A world first in Great Britain: delivery of Liebherr’s first hydraulic excavator with a factory-fitted Leica Geosystems machine control system
2021-02-17,Wasel takes delivery of new Liebherr LTM 1650 8.1 mobile crane and orders new LR 1700 1.0 crawler crane
2021-02-16,Liebherr Mining Extends its Operator Training Simulator Offer
2021-02-15,CELSINEO on LinkedIn
2021-02-15,Liebherr presents new Smart Tyre Saving System
2021-02-15,Mobile and powerful – Liebherr unveils new 700-tonne LR 1700-1.0 crawler crane
2021-02-11,First R 9150B Mining excavator in the U.S
2021-02-11,Liebherr Receives the 2021 Bronze Corporate Social Responsibility Rating from Ecovadis
2021-02-11,Liebherr LTM 1230-5.1 mobile crane installs elevator shaft against the backdrop of the Frankfurt skyline
2021-02-09,SEA-invest orders two further ship to shore container cranes for Antwerp Container Terminal
2021-02-09,Schwientek takes delivery of new LTM 1120-4.1 from Liebherr
2021-02-03,Liebherr advances into new dimensions with the world's largest slewing drive units
2021-02-02,Hamburg: A new Liebherr Generation 8 crawler excavator for the Hagedorn company
2021-02-01,Job-sharing at Bracht – LTM 1450-8.1 fast-erecting crane impresses in tandem hoists
2021-01-29,Liebherr remains Mobile Harbour Crane market leader 
2021-01-29,New attachment from Liebherr: Expansion of range of applications of wheeled and crawler excavators 
2021-01-28,Made to measure – LTM 1100-4.2 from Tage Kristensen in action on a narrow pier in Hanstholm
2021-01-28,Liebherr appliances ensure safe storage of temperature-sensitive substances down to -86 degrees Celsius 
2021-01-27,"River transportation, a long lasting success for Liebherr-Mining Equipment Colmar"
2021-01-27,"France’s Minister of the Economy, Finance and Recovery visits Liebherr in Connection with the Recovery Plan for the Aviation Industry"
2021-01-27,North Sea Terminal Bremerhaven (NTB) prepared for the future with the four new Liebherr ship to shore (STS) container cranes
2021-01-27,CLAAS relies on Liebherr IoT gateways
2021-01-26,Stronger Presence in India
2021-01-26,First Generation 8 R 926 excavator in Belgium
2021-01-25,Liebherr at Aero India 2021
2021-01-22,“We found everything in Liebherr”
2021-01-21,Liebherr honoured with the SDEC 2020 Excellent Development Award
2021-01-19,"In case of imminent accident, new brake assistant for Liebherr wheel loaders reduces stopping distance"
2021-01-18,"From +5 to -86 degrees: Liebherr appliances ensure safe storage of vaccines, pharmaceuticals and research materials"
2021-01-18,Digitalization in deep foundation work: The positioning system LIPOS ® supports continuous flight auger drilling 
2021-01-15,Largest Liebherr material handling machine in France delivered 
2021-01-14,New alternative – fast telescoping using rope pull technology for Liebherr LTC 1050-3.1 compact crane 
2021-01-12,World class – Team Liebherr plays at the Santiago Bernabéu Stadium
2021-01-11,Wagstaff chooses 900 ton Liebherr LTM 1750-9.1 with new software upgrade for critical lift 
2021-01-11,Order for 33 G-BKF armoured recovery and crane vehicles for the Bundeswehr completed
2021-01-07,12 crawler excavators for HM-Entreprenør A/S
2020-12-22,Liebherr-Aerospace among the Best Suppliers of Embraer
2020-12-22,ATR 42/72 Entry into Service – Liebherr with New Air Management System on Board
2020-12-22,100 Liebherr PR 776 mining dozers commissioned
2020-12-22,One million units per year for the first time 
2020-12-22,Bay Ltd. to take delivery of 15 new Liebherr cranes by December 2020
2020-12-18,MacKellar Group adds to T 264 fleet in Australia
2020-12-18,Liebherr machines used for the construction of American landmarks
2020-12-17,Liebherr Awarded by AVL Powertrain UK to Supply Double-stage Electric Turbochargers
2020-12-16,LR 11000 from Felbermayr unloads 450 tonne generator from barge 
2020-12-14,Niederstätter expands sales and service activities for Liebherr tower cranes in Italy 
2020-12-10,Liebherr to Overhaul Landing Gears for Austrian Airlines
2020-12-10,Liebherr’s new 1110-5.1 – an all-rounder in action
2020-12-09,New alternative – using SPMTs as ballast trailers for Liebherr LR 11000 crawler crane
2020-12-08,"Lorban TP opts for performance, flexibility and comfort: Liebherr R 945"
2020-12-04,The Port of Grenaa goes for green e-drive
2020-12-03,When dreams come true - in the Liebherr Christmas bakery
2020-12-03,Nouvelle-Aquitaine Region: Generation 8 crawler excavators for various applications
2020-12-02,Liebherr at Zhejiang International Intelligent Transportation Industry Expo 2020
2020-12-02,Creating trust in the Caribbean – crane and heavy haulage contractor Força chooses Liebherr for used crane purchases 
2020-12-01,World Premiere: Three new Machines and one new Design
2020-11-30,"The 40,000th Liebherr mobile crane ever goes to Poland"
2020-11-26,Liebherr MK 88 Plus mobile construction crane in Rotterdam: cost-effective and quiet continuous operation using site power
2020-11-25,LTM 1050-3.1 makes “Muse” art project possible by hoisting a grand piano into a forest clearing
2020-11-24,Schuch expands fleet with three new Liebherr mobile cranes
